ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603986.SH,20260304,272.89,290.0,272.89,279.07,272.89,6.18,2.2646,326916.32,9250036.179
603986.SH,20260305,288.16,289.88,280.23,282.8,279.07,3.73,1.3366,255299.73,7288806.325
603986.SH,20260306,277.9,288.88,277.56,284.99,282.8,2.19,0.7744,208575.77,5931718.814
603986.SH,20260309,273.0,277.7,264.0,276.09,284.99,-8.9,-3.1229,283545.65,7649552.153
603986.SH,20260310,284.1,286.5,281.18,285.44,276.09,9.35,3.3866,233537.42,6640032.786
603986.SH,20260311,288.04,290.83,281.32,281.53,285.44,-3.91,-1.3698,216498.69,6176121.565
603986.SH,20260312,279.83,283.83,272.43,274.78,281.53,-6.75,-2.3976,172327.47,4768478.191
603986.SH,20260313,270.78,285.67,270.78,278.33,274.78,3.55,1.2919,226137.49,6301123.525
603986.SH,20260316,280.0,306.16,277.0,306.16,278.33,27.83,9.9989,462735.64,13600507.644
603986.SH,20260317,306.5,313.0,295.88,296.0,306.16,-10.16,-3.3185,390000.85,11825489.341
603986.SH,20260318,305.1,313.68,302.0,311.25,296.0,15.25,5.152,420513.52,12995566.647
603986.SH,20260319,300.0,309.71,297.0,303.68,311.25,-7.57,-2.4321,312145.67,9443689.781
603986.SH,20260320,305.55,306.7,290.0,290.2,303.68,-13.48,-4.4389,312536.44,9259119.964
603986.SH,20260323,277.0,282.88,271.0,273.35,290.2,-16.85,-5.8063,282141.91,7806213.396
603986.SH,20260324,277.99,278.0,256.88,273.71,273.35,0.36,0.1317,336914.68,8936300.507
603986.SH,20260325,275.15,285.8,275.14,278.4,273.71,4.69,1.7135,283762.75,7947975.811
603986.SH,20260326,268.0,268.7,260.0,262.0,278.4,-16.4,-5.8908,350773.07,9217935.594
603986.SH,20260327,248.98,260.18,240.25,258.66,262.0,-3.34,-1.2748,289773.43,7291597.265
603986.SH,20260330,252.0,259.54,250.03,255.85,258.66,-2.81,-1.0864,214696.45,5470168.275
603986.SH,20260331,249.9,252.0,236.86,238.1,255.85,-17.75,-6.9377,427623.34,10377669.656
603986.SH,20260401,250.0,256.1,243.7,255.0,238.1,16.9,7.0979,387957.83,9693139.251
603986.SH,20260402,257.86,259.8,245.6,246.99,255.0,-8.01,-3.1412,252974.31,6367107.416
603986.SH,20260403,250.99,254.6,247.5,249.1,246.99,2.11,0.8543,197471.97,4948392.995
603986.SH,20260407,253.1,255.96,248.81,249.66,249.1,0.56,0.2248,198471.58,5011332.74
603986.SH,20260408,250.11,256.96,243.08,255.96,249.66,6.3,2.5234,753325.37,18866761.51
603986.SH,20260409,250.0,253.49,243.9,250.49,255.96,-5.47,-2.1371,444682.57,11053684.068
603986.SH,20260410,255.49,268.32,255.24,265.09,250.49,14.6,5.8286,534766.82,14080294.764
603986.SH,20260413,261.0,269.84,260.9,262.14,265.09,-2.95,-1.1128,412420.92,10896229.97
603986.SH,20260414,269.5,281.23,266.39,280.01,262.14,17.87,6.817,466205.21,12861207.284
603986.SH,20260415,285.0,287.65,271.98,274.0,280.01,-6.01,-2.1464,396972.6,11071707.52
603986.SH,20260416,270.1,287.0,268.59,286.73,274.0,12.73,4.646,409336.72,11431621.262
603986.SH,20260417,284.0,295.66,282.9,288.96,286.73,2.23,0.7777,406321.12,11768331.454
603986.SH,20260420,293.0,295.96,287.12,290.54,288.96,1.58,0.5468,325642.8,9489709.816
603986.SH,20260421,290.8,309.0,288.25,306.27,290.54,15.73,5.4141,425834.06,12827436.178
603986.SH,20260422,303.5,314.58,302.51,313.98,306.27,7.71,2.5174,341661.95,10559646.646
603986.SH,20260423,326.01,326.02,301.9,304.8,313.98,-9.18,-2.9238,441997.3,13709630.158
603986.SH,20260424,305.0,310.0,292.81,297.7,304.8,-7.1,-2.3294,349105.37,10436275.525
603986.SH,20260427,301.59,309.58,297.75,303.42,297.7,5.72,1.9214,316354.78,9594446.068
603986.SH,20260428,305.0,319.33,302.02,307.5,303.42,4.08,1.3447,367942.94,11421765.607
603986.SH,20260429,303.01,311.66,297.0,308.89,307.5,1.39,0.452,419199.8,12787874.125
603986.SH,20260430,320.0,321.0,306.48,312.99,308.89,4.1,1.3273,587965.14,18516847.87
603986.SH,20260506,330.0,344.29,330.0,344.29,312.99,31.3,10.0003,423425.5,14465204.492
603986.SH,20260507,347.0,357.36,339.0,350.16,344.29,5.87,1.705,523878.82,18174549.786
603986.SH,20260508,341.0,343.3,331.8,334.1,350.16,-16.06,-4.5865,440832.73,14821436.654
603986.SH,20260511,350.1,367.51,347.01,362.13,334.1,28.03,8.3897,575079.07,20673848.905
603986.SH,20260512,362.14,362.2,349.2,353.55,362.13,-8.58,-2.3693,405595.51,14360590.982
603986.SH,20260513,344.0,366.71,339.33,365.0,353.55,11.45,3.2386,484982.84,17127399.574
603986.SH,20260514,365.05,373.5,354.99,356.19,365.0,-8.81,-2.4137,408364.64,14829461.848
603986.SH,20260515,353.0,384.0,345.48,375.34,356.19,19.15,5.3763,624368.11,22792196.753
603986.SH,20260518,408.58,412.87,396.34,400.0,375.34,24.66,6.57,687984.34,27876373.984
603986.SH,20260519,390.0,410.0,380.02,404.56,400.0,4.56,1.14,553101.11,21805396.34
603986.SH,20260520,408.0,445.02,407.8,445.02,404.56,40.46,10.001,610125.55,26523529.101
603986.SH,20260521,445.02,464.83,427.33,431.9,445.02,-13.12,-2.9482,632397.68,28199401.936
603986.SH,20260522,448.0,472.99,439.0,468.74,431.9,36.84,8.5298,637968.89,28932072.443
603986.SH,20260525,478.11,515.61,461.0,515.6,468.74,46.86,9.997,593614.11,29387713.836
603986.SH,20260526,510.0,538.02,491.2,526.22,514.85,11.37,2.2084,643383.92,33017657.438
603986.SH,20260527,541.0,552.82,500.0,514.18,526.22,-12.04,-2.288,667260.41,35341222.581
603986.SH,20260528,495.0,499.5,470.0,483.0,514.18,-31.18,-6.064,623792.2,30240489.779
603986.SH,20260529,492.66,496.0,464.91,467.01,483.0,-15.99,-3.3106,558125.42,26715074.211
603986.SH,20260601,476.0,489.96,455.0,468.0,467.01,0.99,0.212,521586.48,24676174.086
603986.SH,20260602,471.0,480.66,448.11,474.69,468.0,6.69,1.4295,490192.77,23013728.744
603986.SH,20260603,478.89,510.0,477.0,492.23,474.69,17.54,3.695,581929.78,28838934.89
603986.SH,20260604,487.05,538.0,485.01,529.31,492.23,37.08,7.5331,563350.88,29302244.793
603986.SH,20260605,507.0,519.8,484.9,488.0,529.31,-41.31,-7.8045,547135.42,27565110.091
603986.SH,20260608,461.11,490.7,451.0,474.01,488.0,-13.99,-2.8668,434474.74,20573934.017
603986.SH,20260609,493.0,502.88,477.03,500.5,474.01,26.49,5.5885,419683.33,20592669.384
603986.SH,20260610,489.11,497.26,475.65,480.84,500.5,-19.66,-3.9281,329972.1,15988381.63
603986.SH,20260611,480.52,486.0,471.0,483.5,480.84,2.66,0.5532,296991.43,14211235.696
603986.SH,20260612,508.0,510.0,481.0,481.47,483.5,-2.03,-0.4199,407085.44,20201561.53
603986.SH,20260615,494.97,519.0,476.66,518.0,481.47,36.53,7.5872,475784.48,23934989.159
603986.SH,20260616,526.0,542.84,517.71,532.76,518.0,14.76,2.8494,427785.07,22673887.613
603986.SH,20260617,521.0,586.04,521.0,586.04,532.76,53.28,10.0008,568000.3,31598894.526
603986.SH,20260618,594.0,644.64,586.6,629.0,586.04,42.96,7.3306,591573.18,37016387.91
603986.SH,20260622,643.0,689.7,635.0,689.7,629.0,60.7,9.6502,525830.95,34699907.688
603986.SH,20260623,680.0,688.8,636.0,640.99,689.7,-48.71,-7.0625,592913.79,39089605.51
603986.SH,20260624,641.0,705.09,630.93,705.09,640.99,64.1,10.0002,598219.31,39944848.281
603986.SH,20260625,740.0,775.39,735.0,775.21,705.09,70.12,9.9448,508678.36,38432771.374
603986.SH,20260626,753.0,779.0,732.52,770.0,775.21,-5.21,-0.6721,493925.62,37418302.893
603986.SH,20260629,779.0,846.66,750.0,840.0,770.0,70.0,9.0909,541208.83,43149934.642
